City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Castro,BR,2022-05-14 22:07:16,-24.7911,-50.0119,56.84,86,99,1.99,overcast clouds
1,Black River,JM,2022-05-14 22:16:17,18.0264,-77.8487,83.88,66,13,15.59,few clouds
2,Busselton,AU,2022-05-14 22:04:06,-33.65,115.3333,58.12,73,100,5.73,overcast clouds
3,Tazmalt,DZ,2022-05-14 22:16:18,36.3868,4.3989,71.56,63,10,2.01,clear sky
4,Piacenza,IT,2022-05-14 22:15:19,45.0468,9.6994,63.97,74,30,2.75,scattered clouds
5,Chokurdakh,RU,2022-05-14 22:16:20,70.6333,147.9167,14.09,92,99,2.08,overcast clouds
6,Albany,US,2022-05-14 22:06:40,42.6001,-73.9662,79.45,62,97,1.99,overcast clouds
7,Butaritari,KI,2022-05-14 22:06:35,3.0707,172.7902,80.82,74,13,9.24,few clouds
8,Barrow,US,2022-05-14 22:06:25,71.2906,-156.7887,28.42,86,100,16.11,overcast clouds
9,Grootfontein,NA,2022-05-14 22:16:22,-19.5667,18.1167,45.97,71,1,1.14,clear sky
10,Port Lincoln,AU,2022-05-14 22:07:14,-34.7333,135.8667,60.8,80,10,18.99,clear sky
11,Kloulklubed,PW,2022-05-14 22:16:23,7.0419,134.2556,83.12,74,52,9.57,broken clouds
12,Norrtalje,SE,2022-05-14 22:16:24,59.758,18.705,47.01,87,30,6.17,moderate rain
13,Ugoofaaru,MV,2022-05-14 22:16:25,5.6667,73.0,82.44,75,100,21.92,heavy intensity rain
14,Vaini,TO,2022-05-14 22:06:32,-21.2,-175.2,77.16,69,75,13.8,broken clouds
15,Port Elizabeth,ZA,2022-05-14 22:06:16,-33.918,25.5701,55.31,97,9,3.0,clear sky
16,Katsuura,JP,2022-05-14 22:06:44,35.1333,140.3,62.62,82,100,27.07,overcast clouds
17,Khatanga,RU,2022-05-14 22:07:20,71.9667,102.5,34.75,100,100,9.86,light snow
18,Biaora,IN,2022-05-14 22:16:27,23.8667,76.9167,92.5,24,40,15.75,scattered clouds
19,Selma,US,2022-05-14 22:16:27,36.5708,-119.6121,90.09,33,0,6.64,clear sky
20,Zhangye,CN,2022-05-14 22:10:58,38.9342,100.4517,46.74,40,2,4.25,clear sky
21,Carnarvon,AU,2022-05-14 22:06:39,-24.8667,113.6333,62.76,53,0,16.87,clear sky
22,Bluff,NZ,2022-05-14 22:16:29,-46.6,168.3333,46.8,76,79,9.04,broken clouds
23,Chuy,UY,2022-05-14 22:16:30,-33.6971,-53.4616,59.81,83,88,5.08,overcast clouds
24,Punta Arenas,CL,2022-05-14 22:12:31,-53.15,-70.9167,48.11,70,57,13.69,broken clouds
25,Gweta,BW,2022-05-14 22:16:31,-20.1833,25.2333,70.09,26,0,8.9,clear sky
26,Hermanus,ZA,2022-05-14 22:16:32,-34.4187,19.2345,57.11,77,11,6.96,few clouds
27,Teya,RU,2022-05-14 22:16:33,60.3778,92.6267,47.35,86,99,2.01,overcast clouds
28,Mataura,NZ,2022-05-14 22:16:34,-46.1927,168.8643,46.47,83,76,3.09,broken clouds
29,Wolgast,DE,2022-05-14 22:16:34,54.05,13.7667,48.85,78,32,8.86,scattered clouds
30,Joshimath,IN,2022-05-14 22:16:36,30.5667,79.5667,63.86,51,16,6.15,few clouds
31,Arraial Do Cabo,BR,2022-05-14 22:05:50,-22.9661,-42.0278,73.26,73,0,9.22,clear sky
32,Tasiilaq,GL,2022-05-14 22:06:56,65.6145,-37.6368,28.56,71,100,2.86,overcast clouds
33,Romny,UA,2022-05-14 22:16:37,50.751,33.4747,47.41,89,35,10.0,scattered clouds
34,Salalah,OM,2022-05-14 22:16:38,17.0151,54.0924,82.49,74,0,2.3,clear sky
35,Taunggyi,MM,2022-05-14 22:16:39,20.7833,97.0333,64.31,93,0,3.98,clear sky
36,Dikson,RU,2022-05-14 22:05:24,73.5069,80.5464,30.52,87,100,6.71,overcast clouds
37,Iqaluit,CA,2022-05-14 22:13:14,63.7506,-68.5145,22.69,79,50,17.0,scattered clouds
38,Yaan,NG,2022-05-14 22:16:40,7.3833,8.5667,78.26,81,44,7.18,scattered clouds
39,Ambilobe,MG,2022-05-14 22:16:41,-13.2,49.05,67.82,85,0,3.78,clear sky
40,Puerto Ayora,EC,2022-05-14 22:16:42,-0.7393,-90.3518,76.96,94,78,3.0,broken clouds
41,Dehloran,IR,2022-05-14 22:16:43,32.6941,47.2679,83.43,14,2,8.08,clear sky
42,Narsaq,GL,2022-05-14 22:12:45,60.9167,-46.05,41.22,70,94,2.68,overcast clouds
43,Ushuaia,AR,2022-05-14 22:15:54,-54.8,-68.3,44.26,70,20,10.36,few clouds
44,Hobart,AU,2022-05-14 22:14:36,-42.8794,147.3294,57.22,80,62,5.21,broken clouds
45,Campiglia Marittima,IT,2022-05-14 22:16:44,43.0602,10.6152,61.25,64,2,4.16,clear sky
46,Yellowknife,CA,2022-05-14 22:08:17,62.456,-114.3525,59.56,26,97,15.01,overcast clouds
47,Bengkulu,ID,2022-05-14 22:07:16,-3.8004,102.2655,77.59,91,51,3.85,broken clouds
48,Torbay,CA,2022-05-14 22:14:29,47.6666,-52.7314,39.27,83,30,10.0,scattered clouds
49,Jamestown,US,2022-05-14 22:07:28,42.097,-79.2353,74.84,60,100,6.91,overcast clouds
50,Bijar,IR,2022-05-14 22:16:47,35.8668,47.6051,51.71,25,0,4.07,clear sky
51,Yashkino,RU,2022-05-14 22:12:46,55.8736,85.4265,60.3,54,100,5.3,overcast clouds
52,Cap-Aux-Meules,CA,2022-05-14 22:16:48,47.3821,-61.8597,42.85,93,75,4.61,broken clouds
53,Vostok,RU,2022-05-14 22:16:49,46.4856,135.8833,42.66,67,69,8.1,broken clouds
54,Alofi,NU,2022-05-14 22:07:24,-19.0595,-169.9187,76.19,60,81,11.79,broken clouds
55,Ballina,AU,2022-05-14 22:14:37,-28.8667,153.5667,69.78,97,90,6.11,overcast clouds
56,Kavaratti,IN,2022-05-14 22:16:51,10.5669,72.642,81.63,77,100,19.35,overcast clouds
